user_id,rank,item_id,rating,label,train_degree
0,1,226,1,0,5
0,2,265,5,1,7
0,3,282,2,0,10
0,4,198,3,1,8
0,5,12,4,1,6
1,1,264,2,0,15
1,2,219,1,0,10
1,3,189,2,0,7
1,4,275,2,0,7
1,5,186,1,0,6
2,1,173,2,0,10
2,2,70,1,0,3
2,3,188,2,0,13
2,4,243,4,1,15
2,5,121,1,0,29
3,1,208,5,1,7
3,2,280,3,1,10
3,3,224,3,1,17
3,4,293,2,0,8
3,5,185,2,0,2
4,1,70,2,0,3
4,2,150,4,1,10
4,3,200,4,1,15
4,4,126,3,1,17
4,5,284,1,0,4
5,1,90,1,0,34
5,2,180,3,1,4
5,3,249,4,1,39
5,4,271,3,1,8
5,5,280,2,0,10
6,1,247,3,1,30
6,2,175,3,1,7
6,3,249,4,1,39
6,4,243,2,0,15
6,5,263,3,1,18
7,1,66,1,0,8
7,2,214,1,0,12
7,3,218,3,1,8
7,4,46,1,0,8
7,5,76,1,0,8
8,1,18,3,1,10
8,2,290,3,1,19
8,3,105,2,0,19
8,4,251,2,0,22
8,5,258,1,0,6
9,1,192,3,1,5
9,2,252,3,1,48
9,3,276,5,1,8
9,4,245,4,1,5
9,5,296,1,0,11
10,1,247,4,1,30
10,2,258,3,1,6
10,3,285,1,0,9
10,4,116,1,0,12
10,5,20,1,0,4
11,1,171,2,0,7
11,2,167,2,0,9
11,3,51,3,1,9
11,4,154,3,1,6
11,5,62,4,1,12
12,1,197,3,1,8
12,2,275,4,1,7
12,3,285,3,1,9
12,4,109,1,0,12
12,5,129,2,0,25
13,1,82,4,1,7
13,2,58,1,0,11
13,3,143,3,1,21
13,4,171,3,1,7
13,5,271,5,1,8
14,1,231,2,0,15
14,2,268,2,0,11
14,3,90,2,0,34
14,4,169,2,0,6
14,5,140,1,0,2
15,1,292,4,1,15
15,2,203,2,0,8
15,3,210,5,1,8
15,4,296,1,0,11
15,5,180,1,0,4
16,1,85,1,0,14
16,2,235,1,0,13
16,3,151,1,0,6
16,4,11,1,0,4
16,5,251,1,0,22
17,1,266,3,1,13
17,2,205,3,1,6
17,3,254,2,0,12
17,4,209,2,0,4
17,5,204,2,0,2
18,1,175,4,1,7
18,2,180,2,0,4
18,3,251,2,0,22
18,4,198,3,1,8
18,5,244,1,0,16
19,1,291,3,1,16
19,2,203,1,0,8
19,3,236,1,0,17
19,4,221,2,0,9
19,5,274,1,0,2
20,1,214,1,0,12
20,2,183,1,0,5
20,3,196,1,0,7
20,4,208,2,0,7
20,5,182,3,1,8
21,1,200,3,1,15
21,2,298,4,1,11
21,3,93,4,1,11
21,4,213,4,1,10
21,5,231,4,1,15
22,1,220,4,1,9
22,2,48,4,1,12
22,3,123,4,1,17
22,4,266,2,0,13
22,5,88,4,1,21
24,1,170,2,0,6
24,2,15,1,0,5
24,3,296,2,0,11
24,4,261,2,0,3
24,5,254,4,1,12
25,1,271,3,1,8
25,2,237,5,1,16
25,3,151,1,0,6
25,4,257,3,1,18
25,5,157,2,0,12
26,1,213,3,1,10
26,2,277,4,1,5
26,3,276,5,1,8
26,4,297,4,1,17
26,5,154,4,1,6
27,1,9,2,0,14
27,2,103,1,0,31
27,3,181,2,0,2
27,4,27,1,0,3
27,5,35,3,1,4
28,1,218,5,1,8
28,2,197,1,0,8
28,3,60,2,0,3
28,4,172,3,1,7
28,5,42,1,0,6
29,1,273,4,1,14
29,2,213,5,1,10
29,3,4,2,0,13
29,4,112,1,0,14
29,5,113,1,0,12
30,1,219,3,1,10
30,2,157,4,1,12
30,3,155,5,1,18
30,4,200,5,1,15
30,5,204,4,1,2
31,1,256,3,1,14
31,2,66,1,0,8
31,3,65,1,0,1
31,4,277,2,0,5
31,5,124,1,0,3
32,1,244,1,0,16
32,2,165,1,0,10
32,3,214,3,1,12
32,4,284,1,0,4
32,5,268,3,1,11
33,1,295,2,0,15
33,2,193,2,0,13
33,3,277,2,0,5
33,4,265,2,0,7
33,5,276,1,0,8
34,1,257,4,1,18
34,2,165,4,1,10
34,3,292,3,1,15
34,4,296,3,1,11
34,5,123,1,0,17
35,1,227,5,1,19
35,2,182,3,1,8
35,3,262,4,1,17
35,4,165,4,1,10
35,5,198,4,1,8
36,1,269,5,1,7
36,2,266,5,1,13
36,3,213,5,1,10
36,4,190,2,0,2
36,5,223,5,1,12
37,1,199,3,1,17
37,2,194,3,1,8
37,3,171,3,1,7
37,4,69,1,0,4
37,5,111,1,0,7
38,1,285,4,1,9
38,2,244,3,1,16
38,3,232,3,1,4
38,4,278,3,1,12
38,5,159,3,1,9
39,1,266,5,1,13
39,2,231,5,1,15
39,3,223,1,0,12
39,4,94,5,1,9
39,5,283,5,1,8
40,1,271,4,1,8
40,2,227,5,1,19
40,3,167,1,0,9
40,4,164,4,1,8
40,5,143,1,0,21
41,1,203,3,1,8
41,2,282,5,1,10
41,3,43,1,0,8
41,4,189,5,1,7
41,5,45,1,0,4
42,1,81,1,0,7
42,2,285,2,0,9
42,3,251,1,0,22
42,4,280,1,0,10
42,5,28,1,0,1
43,1,272,3,1,11
43,2,38,2,0,9
43,3,247,2,0,30
43,4,222,1,0,2
43,5,26,1,0,8
44,1,196,4,1,7
44,2,164,2,0,8
44,3,218,2,0,8
44,4,258,1,0,6
44,5,17,1,0,2
45,1,212,2,0,13
45,2,295,4,1,15
45,3,189,1,0,7
45,4,201,1,0,5
45,5,17,1,0,2
46,1,268,3,1,11
46,2,59,2,0,8
46,3,1,2,0,8
46,4,166,4,1,10
46,5,19,4,1,12
47,1,72,4,1,11
47,2,171,3,1,7
47,3,167,2,0,9
47,4,285,2,0,9
47,5,66,4,1,8
48,1,157,3,1,12
48,2,150,1,0,10
48,3,75,4,1,10
48,4,168,4,1,6
48,5,111,1,0,7
49,1,177,3,1,5
49,2,238,4,1,12
49,3,183,3,1,5
49,4,173,2,0,10
49,5,214,2,0,12
50,1,160,3,1,6
50,2,188,5,1,13
50,3,208,2,0,7
50,4,269,2,0,7
50,5,61,1,0,3
51,1,216,3,1,3
51,2,237,4,1,16
51,3,141,3,1,22
51,4,228,4,1,16
51,5,192,5,1,5
52,1,219,2,0,10
52,2,261,3,1,3
52,3,240,1,0,8
52,4,295,2,0,15
52,5,12,1,0,6
53,1,96,2,0,35
53,2,69,3,1,4
53,3,175,2,0,7
53,4,140,3,1,2
53,5,128,1,0,5
54,1,217,4,1,8
54,2,245,4,1,5
54,3,216,2,0,3
54,4,244,3,1,16
54,5,187,3,1,11
55,1,279,3,1,17
55,2,269,3,1,7
55,3,243,4,1,15
55,4,187,3,1,11
55,5,74,1,0,13
56,1,209,3,1,4
56,2,91,3,1,10
56,3,28,4,1,1
56,4,272,3,1,11
56,5,31,2,0,2
57,1,209,3,1,4
57,2,187,3,1,11
57,3,213,5,1,10
57,4,47,1,0,3
57,5,8,1,0,10
58,1,229,4,1,22
58,2,92,2,0,14
58,3,72,1,0,11
58,4,276,1,0,8
58,5,21,2,0,14
59,1,197,4,1,8
59,2,239,1,0,3
59,3,284,1,0,4
59,4,128,1,0,5
59,5,57,1,0,5
60,1,220,5,1,9
60,2,177,4,1,5
60,3,200,3,1,15
60,4,105,1,0,19
60,5,63,1,0,6
61,1,201,1,0,5
61,2,81,1,0,7
61,3,163,2,0,4
61,4,263,1,0,18
61,5,268,1,0,11
62,1,191,3,1,9
62,2,48,1,0,12
62,3,207,1,0,5
62,4,244,2,0,16
62,5,236,1,0,17
63,1,216,4,1,3
63,2,228,3,1,16
63,3,241,1,0,19
63,4,108,3,1,14
63,5,163,1,0,4
64,1,260,4,1,16
64,2,271,2,0,8
64,3,244,1,0,16
64,4,71,2,0,24
64,5,240,3,1,8
65,1,268,4,1,11
65,2,208,3,1,7
65,3,221,3,1,9
65,4,271,1,0,8
65,5,287,1,0,9
66,1,157,5,1,12
66,2,240,3,1,8
66,3,210,4,1,8
66,4,69,2,0,4
66,5,4,2,0,13
67,1,200,3,1,15
67,2,247,2,0,30
67,3,221,1,0,9
67,4,194,2,0,8
67,5,231,1,0,15
68,1,251,2,0,22
68,2,172,4,1,7
68,3,117,3,1,14
68,4,281,3,1,4
68,5,143,2,0,21
69,1,281,5,1,4
69,2,259,4,1,10
69,3,189,2,0,7
69,4,254,1,0,12
69,5,148,1,0,18
70,1,156,3,1,4
70,2,238,3,1,12
70,3,166,4,1,10
70,4,225,3,1,6
70,5,91,1,0,10
71,1,142,5,1,34
71,2,104,3,1,17
71,3,220,1,0,9
71,4,181,1,0,2
71,5,194,1,0,8
72,1,224,2,0,17
72,2,174,1,0,11
72,3,272,1,0,11
72,4,267,3,1,17
72,5,212,4,1,13
73,1,199,4,1,17
73,2,107,4,1,22
73,3,195,1,0,6
73,4,283,1,0,8
73,5,25,2,0,6
74,1,161,1,0,11
74,2,243,4,1,15
74,3,112,1,0,14
74,4,79,3,1,21
74,5,244,1,0,16
75,1,260,3,1,16
75,2,231,2,0,15
75,3,173,3,1,10
75,4,217,1,0,8
75,5,239,4,1,3
76,1,86,2,0,11
76,2,166,1,0,10
76,3,138,4,1,27
76,4,42,1,0,6
76,5,18,2,0,10
77,1,236,3,1,17
77,2,262,4,1,17
77,3,42,1,0,6
77,4,225,1,0,6
77,5,69,1,0,4
78,1,236,4,1,17
78,2,251,1,0,22
78,3,198,1,0,8
78,4,215,5,1,3
78,5,156,1,0,4
79,1,13,5,1,7
79,2,286,4,1,8
79,3,122,4,1,15
79,4,297,4,1,17
79,5,284,2,0,4
80,1,288,3,1,16
80,2,285,3,1,9
80,3,200,3,1,15
80,4,250,1,0,20
80,5,166,4,1,10
81,1,240,1,0,8
81,2,263,3,1,18
81,3,246,4,1,32
81,4,155,2,0,18
81,5,256,2,0,14
82,1,188,1,0,13
82,2,209,4,1,4
82,3,224,1,0,17
82,4,289,2,0,1
82,5,55,2,0,4
83,1,295,4,1,15
83,2,159,4,1,9
83,3,226,1,0,5
83,4,113,3,1,12
83,5,155,4,1,18
84,1,219,3,1,10
84,2,220,4,1,9
84,3,291,4,1,16
84,4,188,3,1,13
84,5,228,2,0,16
85,1,255,1,0,4
85,2,275,1,0,7
85,3,170,3,1,6
85,4,114,3,1,19
85,5,152,3,1,3
86,1,236,3,1,17
86,2,155,4,1,18
86,3,175,1,0,7
86,4,144,3,1,29
86,5,258,1,0,6
87,1,182,3,1,8
87,2,241,3,1,19
87,3,173,3,1,10
87,4,165,3,1,10
87,5,193,4,1,13
88,1,276,3,1,8
88,2,229,3,1,22
88,3,133,1,0,36
88,4,252,3,1,48
88,5,275,1,0,7
89,1,21,3,1,14
89,2,159,3,1,9
89,3,252,5,1,48
89,4,113,2,0,12
89,5,244,3,1,16
90,1,153,3,1,8
90,2,224,4,1,17
90,3,209,1,0,4
90,4,295,3,1,15
90,5,227,3,1,19
